Genus,Species,Gender,State,County,Refuge,Division,Sample Site,Coordinates,Habitat,Date Sampled,Collector,Notes,,,,,,,
Agapostemon,Agapostemon texanus,Female,Missouri,Lafayette,Big Muddy,N/A,BB,N/A,Old Field,Sept. 26,N/A,,,,,,,,
Agapostemon,Agapostemon texanus,Female,Missouri,Lafayette,Big Muddy,N/A,BB,N/A,Old Field,Sept. 26,N/A,,,,,,,,
Agapostemon,Agapostemon texanus,Female,Missouri,Lafayette,Big Muddy,N/A,BB,N/A,Old Field,Sept. 26,N/A,,,,,,,,
Agapostemon,Agapostemon texanus,Female,Missouri,Lafayette,Big Muddy,N/A,BB,N/A,Old Field,Sept. 26,N/A,,,,,,,,
Agapostemon,Agapostemon texanus,Female,Missouri,Lafayette,Big Muddy,N/A,BB,N/A,Old Field,Sept. 26,N/A,,,,,,,,
Agapostemon,Agapostemon texanus,Female,Missouri,Lafayette,Big Muddy,N/A,BB,N/A,Old Field,Sept. 26,N/A,,,,,,,,
Agapostemon,Agapostemon texanus,Female,Missouri,Lafayette,Big Muddy,N/A,BB,N/A,Old Field,Sept. 26,N/A,,,,,,,,
Agapostemon,Agapostemon texanus,Female,Missouri,Lafayette,Big Muddy,N/A,BB,N/A,Old Field,Sept. 26,N/A,,,,,,,,
Agapostemon,Agapostemon texanus,Female,Missouri,Lafayette,Big Muddy,N/A,BB,N/A,Old Field,Sept. 26,N/A,,,,,,,,
Agapostemon,Agapostemon texanus,Female,Missouri,Lafayette,Big Muddy,N/A,BB,N/A,Old Field,Sept. 26,N/A,,,,,,,,
Agapostemon,Agapostemon texanus,Female,Missouri,Ray,Big Muddy,N/A,JAB,N/A,Old Field,Jul. 17,N/A,JAB Ray,,,,,,,
Agapostemon,Agapostemon texanus,Female,Missouri,Ray,Big Muddy,N/A,JAB,N/A,Old Field,Jul. 17,N/A,JAB Ray,,,,,,,
Agapostemon,Agapostemon texanus,Female,Missouri,Ray,Big Muddy,N/A,JAB,N/A,Old Field,Jul. 17,N/A,JAB Ray,,,,,,,
Agapostemon,Agapostemon texanus,Female,Missouri,Ray,Big Muddy,N/A,JAB,N/A,Old Field,Jul. 17,N/A,JAB Ray,,,,,,,
Agapostemon,Agapostemon texanus,Female,Missouri,Ray,Big Muddy,N/A,JAB,N/A,Old Field,Sept. 13,N/A,,,,,,,,
Agapostemon,Agapostemon texanus,Female,Missouri,Ray,Big Muddy,N/A,JAB,N/A,Old Field,Sept. 26,N/A,,,,,,,,
Agapostemon,Agapostemon texanus,Female,Missouri,Ray,Big Muddy,N/A,JAB,N/A,Forest,Sept. 13,N/A,,,,,,,,
Agapostemon,Agapostemon texanus,Female,Missouri,Ray,Big Muddy,N/A,Jackass Bend,N/A,old field,May. 22,W. Watkins,,,,,,,,
Agapostemon,Agapostemon texanus,Female,Missouri,Ray,Big Muddy,N/A,N/A,N/A,old field,Jun. 12,W. Watkins,,,,,,,,
Agapostemon,Agapostemon texanus,Female,Missouri,Ray,Big Muddy,N/A,N/A,N/A,old field,Jun. 20,W. Watkins,,,,,,,,
Agapostemon,Agapostemon texanus,Female,Missouri,Lafayette,Big Muddy,N/A,N/A,N/A,forest,May. 22,W. Watkins,,,,,,,,
Agapostemon,Agapostemon texanus,Female,Missouri,Lafayette,Big Muddy,N/A,N/A,N/A,Old Field,Sept. 19,N/A,,,,,,,,
Agapostemon,Agapostemon texanus,Female,Missouri,Lafayette,Big Muddy,N/A,N/A,N/A,Old Field,Sept. 26,N/A,,,,,,,,
Agapostemon,Agapostemon virescens,Female,Missouri,Ray,Big Muddy,N/A,JAB,N/A,Old Field,Jul. 2,N/A,JAB Ray,,,,,,,
Agapostemon,Agapostemon virescens,Female,Missouri,Ray,Big Muddy,N/A,JAB,N/A,Old Field,Jul. 2,N/A,JAB Ray,,,,,,,
Agapostemon,Agapostemon virescens,Female,Missouri,Ray,Big Muddy,N/A,JAB,N/A,Old Field,Jul. 17,N/A,JAB Ray,,,,,,,
Agapostemon,Agapostemon virescens,Female,Missouri,Ray,Big Muddy,N/A,JAB,N/A,Old Field,Aug. 20,N/A,JAB Ray,,,,,,,
Agapostemon,Agapostemon virescens,Female,Missouri,Ray,Big Muddy,N/A,JAB,N/A,Old Field,Aug. 20,N/A,JAB Ray,,,,,,,
Agapostemon,Agapostemon virescens,Female,Missouri,Ray,Big Muddy,N/A,JAB,N/A,Old Field,Sept. 13,N/A,JAB Ray,,,,,,,
Agapostemon,Agapostemon virescens,Female,Missouri,Ray,Big Muddy,N/A,JAB,N/A,Old Field,Sept. 26,N/A,JAB Ray,,,,,,,
Agapostemon,Agapostemon virescens,Female,Missouri,Ray,Big Muddy,N/A,JAB,N/A,Old Field,Sept. 26,N/A,JAB Ray,,,,,,,
Agapostemon,Agapostemon virescens,Female,Missouri,Ray,Big Muddy,N/A,JAB,N/A,Old Field,Sept. 26,N/A,JAB Ray,,,,,,,
Agapostemon,Agapostemon virescens,Female,Missouri,Ray,Big Muddy,N/A,JAB,N/A,Old Field,Sept. 26,N/A,JAB Ray,,,,,,,
Agapostemon,Agapostemon virescens,Female,Missouri,Ray,Big Muddy,N/A,JAB,N/A,Old Field,Sept. 26,N/A,JAB Ray,,,,,,,
Agapostemon,Agapostemon virescens,Male,Missouri,Ray,Big Muddy,N/A,JAB,N/A,Old Field,Aug. 20,N/A,,,,,,,,
Agapostemon,Agapostemon virescens,Male,Missouri,Ray,Big Muddy,N/A,JAB,N/A,Old Field,Aug. 20,N/A,,,,,,,,
Agapostemon,Agapostemon virescens,Male,Missouri,Ray,Big Muddy,N/A,JAB,N/A,Old Field,Aug. 20,N/A,,,,,,,,
Agapostemon,Agapostemon virescens,Male,Missouri,Ray,Big Muddy,N/A,JAB,N/A,Old Field,Aug. 20,N/A,,,,,,,,
Agapostemon,Agapostemon virescens,Male,Missouri,Ray,Big Muddy,N/A,JAB,N/A,Forest,Aug. 20,N/A,,,,,,,,
Agapostemon,Agapostemon virescens,Female,Missouri,Lafayette,Big Muddy,N/A,N/A,N/A,forest,Jun. 12,W. Watkins,,,,,,,,
Agapostemon,Agapostemon virescens,Female,Missouri,Ray,Big Muddy,N/A,N/A,N/A,forest,Jun. 20,W. Watkins,,,,,,,,
Agapostemon,Agapostemon virescens,Female,Missouri,Ray,Big Muddy,N/A,N/A,N/A,forest,Jun. 20,W. Watkins,,,,,,,,
Agapostemon,Agapostemon virescens,Female,Missouri,Ray,Big Muddy,N/A,N/A,N/A,old field,Jun. 20,W. Watkins,,,,,,,,
Agapostemon,Agapostemon virescens,Female,Missouri,Ray,Big Muddy,N/A,N/A,N/A,old field,Jun. 20,W. Watkins,,,,,,,,
Agapostemon,Agapostemon virescens,Female,Missouri,Ray,Big Muddy,N/A,N/A,N/A,old field,Jun. 20,W. Watkins,,,,,,,,
Agapostemon,Agapostemon virescens,Female,Missouri,Ray,Big Muddy,N/A,N/A,N/A,old field,Jun. 20,W. Watkins,,,,,,,,
Agapostemon,Agapostemon virescens,Female,Missouri,Ray,Big Muddy,N/A,N/A,N/A,old field,Jun. 20,W. Watkins,,,,,,,,
Agapostemon,Agapostemon virescens,Female,Missouri,Ray,Big Muddy,N/A,N/A,N/A,old field,Jun. 20,W. Watkins,,,,,,,,
Agapostemon,Agapostemon virescens,Female,Missouri,Ray,Big Muddy,N/A,N/A,N/A,old field,Jun. 20,W. Watkins,,,,,,,,
Agapostemon,Agapostemon virescens,Female,Missouri,Ray,Big Muddy,N/A,N/A,N/A,old field,Jun. 20,W. Watkins,,,,,,,,
Agapostemon,Agapostemon virescens,Female,Missouri,Ray,Big Muddy,N/A,N/A,N/A,old field,Jun. 20,W. Watkins,,,,,,,,
Agapostemon,Agapostemon virescens,Female,Missouri,Ray,Big Muddy,N/A,N/A,N/A,old field,Jun. 20,W. Watkins,,,,,,,,
Agapostemon,Agapostemon virescens,Female,Missouri,Ray,Big Muddy,N/A,N/A,N/A,forest,Jun. 20,W. Watkins,,,,,,,,
Agapostemon,Agapostemon virescens,Female,Missouri,Ray,Big Muddy,N/A,N/A,N/A,old field,Jun. 12,W. Watkins,,,,,,,,
Agapostemon,Agapostemon virescens,Female,Missouri,Ray,Big Muddy,N/A,N/A,N/A,old field,Jun. 12,W. Watkins,,,,,,,,
Agapostemon,Agapostemon virescens,Female,Missouri,Ray,Big Muddy,N/A,N/A,N/A,old field,Jun. 12,W. Watkins,,,,,,,,
Agapostemon,Agapostemon virescens,Female,Missouri,Ray,Big Muddy,N/A,N/A,N/A,old field,Jun. 12,W. Watkins,,,,,,,,
Agapostemon,Agapostemon virescens,Female,Missouri,Ray,Big Muddy,N/A,N/A,N/A,old field,Jun. 12,W. Watkins,,,,,,,,
Agapostemon,Agapostemon virescens,Female,Missouri,Ray,Big Muddy,N/A,N/A,N/A,old field,Jun. 12,W. Watkins,,,,,,,,
Agapostemon,Agapostemon virescens,Female,Missouri,Ray,Big Muddy,N/A,N/A,N/A,old field,Jun. 12,W. Watkins,,,,,,,,
Agapostemon,Agapostemon virescens,Female,Missouri,Ray,Big Muddy,N/A,N/A,N/A,old field,Jun. 12,W. Watkins,,,,,,,,
Agapostemon,Agapostemon virescens,Female,Missouri,Ray,Big Muddy,N/A,N/A,N/A,old field,Jun. 12,W. Watkins,,,,,,,,
Agapostemon,Agapostemon virescens,Female,Missouri,Ray,Big Muddy,N/A,N/A,N/A,old field,Jun. 12,W. Watkins,,,,,,,,
Agapostemon,Agapostemon virescens,Female,Missouri,Ray,Big Muddy,N/A,N/A,N/A,old field,Jun. 12,W. Watkins,,,,,,,,
Agapostemon,Agapostemon virescens,Female,Missouri,Ray,Big Muddy,N/A,N/A,N/A,old field,Jun. 20,W. Watkins,,,,,,,,
Agapostemon,Agapostemon virescens,Female,Missouri,Lafayette,Big Muddy,N/A,N/A,N/A,Old Field,Jul. 2,N/A,,,,,,,,
Agapostemon,Agapostemon virescens,Female,Missouri,Lafayette,Big Muddy,N/A,N/A,N/A,Old Field,Jul. 2,N/A,,,,,,,,
Agapostemon,Agapostemon virescens,Female,Missouri,Lafayette,Big Muddy,N/A,N/A,N/A,Forest,Jul. 2,N/A,,,,,,,,
Agapostemon,Agapostemon virescens,Female,Missouri,Lafayette,Big Muddy,N/A,N/A,N/A,Forest,Jul. 2,N/A,,,,,,,,
Agapostemon,Agapostemon virescens,Female,Missouri,Lafayette,Big Muddy,N/A,N/A,N/A,Forest,Jul. 2,N/A,,,,,,,,
Andrena,Andrena barbilabris,Female,Missouri,Ray,Big Muddy,N/A,JAB,N/A,Old Field,May. 22,N/A,,,,,,,,
Andrena,Andrena cressonii,Female,Missouri,Ray,Big Muddy,N/A,BB,N/A,forest,Jun. 20,W. Watkins,BB Ray Co.,,,,,,,
Andrena,Andrena cressonii,Female,Missouri,Ray,Big Muddy,N/A,BB,N/A,forest,Jun. 20,W. Watkins,BB Ray Co.,,,,,,,
Andrena,Andrena cressonii,Female,Missouri,Ray,Big Muddy,N/A,JAB,N/A,Old Field,May. 22,N/A,,,,,,,,
Andrena,Andrena cressonii,Female,Missouri,Ray,Big Muddy,N/A,JAB,N/A,Old Field,May. 22,N/A,,,,,,,,
Andrena,Andrena cressonii,Female,Missouri,Ray,Big Muddy,N/A,JAB,N/A,Old Field,May. 22,N/A,,,,,,,,
Andrena,Andrena cressonii,Female,Missouri,Ray,Big Muddy,N/A,JAB,N/A,Old Field,May. 22,N/A,,,,,,,,
Andrena,Andrena cressonii,Female,Missouri,Ray,Big Muddy,N/A,JAB,N/A,Old Field,May. 22,N/A,,,,,,,,
Andrena,Andrena cressonii,Female,Missouri,Ray,Big Muddy,N/A,JAB,N/A,Old Field,May. 22,N/A,,,,,,,,
Andrena,Andrena cressonii,Female,Missouri,Ray,Big Muddy,N/A,N/A,N/A,Forest,May. 22,N/A,,,,,,,,
Andrena,Andrena cressonii,Female,Missouri,Ray,Big Muddy,N/A,N/A,N/A,Old Field,Jun. 12,N/A,,,,,,,,
Andrena,Andrena cressonii,Female,Missouri,Ray,Big Muddy,N/A,N/A,N/A,Old Field,Jun. 20,N/A,,,,,,,,
Andrena,Andrena cressonii,Female,Missouri,Lafayette,Big Muddy,N/A,N/A,N/A,Forest,May. 29,N/A,,,,,,,,
Andrena,Andrena cressonii,Female,Missouri,Lafayette,Big Muddy,N/A,N/A,N/A,Old Field,May. 22,N/A,,,,,,,,
Andrena,Andrena erigeniae,Female,Missouri,Lafayette,Big Muddy,N/A,N/A,N/A,Forest,May. 22,N/A,,,,,,,,
Andrena,Andrena erigeniae,Female,Missouri,Lafayette,Big Muddy,N/A,N/A,N/A,Old Field,May. 22,N/A,"Aberrant: note terga, labrum, clypeus",,,,,,,
Andrena,Andrena helianthi,Female,Missouri,Lafayette,Big Muddy,N/A,BB,N/A,Old Field,Sept. 6,N/A,,,,,,,,
Andrena ,Andrena hippotes,Female,Missouri,Ray,Big Muddy,N/A,JAB,N/A,Old Field,May. 22,N/A,,,,,,,,
Andrena,Andrena imitatrix,Female,Missouri,Ray,Big Muddy,N/A,JAB,N/A,Old Field,May. 22,N/A,,,,,,,,
Andrena,Andrena imitatrix,Female,Missouri,Lafayette,Big Muddy,N/A,N/A,N/A,Forest,May. 22,N/A,,,,,,,,
Andrena,Andrena imitatrix,Female,Missouri,Lafayette,Big Muddy,N/A,N/A,N/A,Forest,May. 22,N/A,,,,,,,,
Andrena,Andrena miserabilis,Female,Missouri,Ray,Big Muddy,N/A,JAB,N/A,Old Field,May. 22,N/A,,,,,,,,
Andrena,Andrena miserabilis,Female,Missouri,Ray,Big Muddy,N/A,JAB,N/A,Old Field,May. 22,N/A,,,,,,,,
Andrena,Andrena miserabilis,Female,Missouri,Ray,Big Muddy,N/A,JAB,N/A,Old Field,May. 22,N/A,,,,,,,,
Andrena,Andrena miserabilis,Female,Missouri,Ray,Big Muddy,N/A,JAB,N/A,Old Field,May. 22,N/A,,,,,,,,
Andrena,Andrena miserabilis,Female,Missouri,Ray,Big Muddy,N/A,JAB,N/A,Old Field,May. 22,N/A,,,,,,,,
Andrena,Andrena nasonii,Female,Missouri,Ray,Big Muddy,N/A,BB,N/A,Forest,Jun. 20,N/A,,,,,,,,
Andrena,Andrena nasonii,Female,Missouri,Lafayette,Big Muddy,N/A,N/A,N/A,Old Field,May. 22,N/A,,,,,,,,
Andrena,Andrena nasonii,Female,Missouri,Lafayette,Big Muddy,N/A,N/A,N/A,Old Field,May. 22,N/A,,,,,,,,
Andrena,Andrena nasonii,Female,Missouri,Lafayette,Big Muddy,N/A,N/A,N/A,Old Field,May. 22,N/A,,,,,,,,
Andrena,Andrena nasonii,Female,Missouri,Lafayette,Big Muddy,N/A,N/A,N/A,Old Field,May. 22,N/A,,,,,,,,
